time_s,vx_ms,vy_ms,pitch_deg,roll_deg
0.000000,0.013290,0.000078,-0.740000,-0.660000
0.099999,0.013025,0.000096,-0.740000,-0.660000
0.200020,0.012120,0.001431,-0.740000,-0.660000
0.299997,0.010598,0.002422,-0.740000,-0.660000
0.399966,0.008834,0.003529,-0.740000,-0.660000
0.499993,0.006578,0.004591,-0.740000,-0.660000
0.599993,0.005701,0.005499,-0.740000,-0.650000
0.699989,0.004460,0.006320,-0.750000,-0.650000
0.799980,0.003429,0.008128,-0.750000,-0.650000
0.900010,0.002944,0.009628,-0.750000,-0.650000
0.999992,0.002016,0.010198,-0.750000,-0.650000
1.099989,0.001564,0.011175,-0.750000,-0.650000
1.200026,0.001485,0.011594,-0.750000,-0.650000
1.299997,0.001246,0.011822,-0.750000,-0.650000
1.399964,0.002018,0.011282,-0.750000,-0.660000
1.500024,0.002824,0.010057,-0.750000,-0.660000
1.599995,0.002564,0.009059,-0.750000,-0.660000
1.699963,0.001891,0.008603,-0.750000,-0.660000
1.799966,0.000782,0.008047,-0.740000,-0.660000
1.899967,-0.000931,0.007999,-0.740000,-0.660000
1.999996,-0.001599,0.007982,-0.740000,-0.660000
2.099989,-0.002257,0.007902,-0.740000,-0.660000
2.200012,-0.003440,0.007682,-0.740000,-0.660000
2.300004,-0.004271,0.007022,-0.740000,-0.650000
2.399970,-0.006040,0.006318,-0.740000,-0.650000
2.500037,-0.007473,0.006398,-0.740000,-0.650000
2.599993,-0.008057,0.005600,-0.730000,-0.650000
2.699992,-0.008677,0.005220,-0.730000,-0.660000
2.800032,-0.008268,0.003329,-0.730000,-0.660000
2.899971,-0.008322,0.002184,-0.730000,-0.660000
2.999997,-0.007233,0.002855,-0.730000,-0.660000
3.100012,-0.007220,-0.006950,-0.720000,-0.660000
3.200016,-0.007237,-0.011162,-0.770000,-0.650000
3.300027,-0.007296,-0.014254,-0.740000,-0.660000
3.399997,-0.001865,-0.012578,-0.750000,-0.670000
3.500003,0.002983,-0.013726,-0.720000,-0.680000
3.599968,0.010663,-0.002381,-0.720000,-0.690000
3.700026,0.020081,-0.003838,-0.710000,-0.680000
3.800044,0.015970,0.003492,-0.700000,-0.680000
3.900003,0.013209,0.009369,-0.710000,-0.670000
3.999993,0.013543,0.007450,-0.730000,-0.660000
4.099994,0.008442,-0.002321,-0.740000,-0.660000
4.199994,0.001829,0.000082,-0.750000,-0.670000
4.300006,-0.000651,-0.008077,-0.760000,-0.670000
4.399977,-0.000555,-0.008562,-0.760000,-0.670000
4.499981,-0.000863,-0.012158,-0.750000,-0.680000
4.599966,-0.002925,-0.014584,-0.750000,-0.690000
4.700023,-0.001818,-0.014305,-0.740000,-0.690000
4.799997,-0.001400,-0.005289,-0.720000,-0.680000
4.899970,-0.004734,-0.001895,-0.720000,-0.680000
5.000001,-0.004657,0.006890,-0.730000,-0.670000
5.099985,-0.001490,0.007894,-0.730000,-0.660000
5.199995,0.001410,0.012783,-0.740000,-0.670000
5.300004,0.004988,0.012495,-0.760000,-0.670000
5.399971,0.009807,0.009245,-0.770000,-0.650000
5.499995,0.011221,0.002724,-0.790000,-0.660000
5.600038,0.012376,-0.002211,-0.780000,-0.670000
5.699994,0.014295,-0.005507,-0.780000,-0.670000
5.799972,0.013524,-0.009440,-0.770000,-0.680000
5.899998,0.006802,-0.011004,-0.760000,-0.690000
5.999991,0.002585,-0.007353,-0.740000,-0.680000
6.100020,-0.005641,-0.003719,-0.730000,-0.680000
6.200026,-0.009092,-0.003012,-0.730000,-0.670000
6.300000,-0.008593,0.001778,-0.740000,-0.670000
6.399997,-0.008066,0.006399,-0.750000,-0.670000
6.500034,-0.002588,0.007683,-0.760000,-0.670000
6.600000,0.005081,0.008149,-0.790000,-0.670000
6.700002,0.014436,0.007846,-0.810000,-0.670000
6.799994,0.026614,0.004558,-0.820000,-0.670000
6.899979,0.036510,0.000706,-0.820000,-0.680000
7.000015,0.039734,-0.003408,-0.810000,-0.690000
7.099967,0.037527,-0.002277,-0.790000,-0.690000
7.199999,0.034837,0.000946,-0.770000,-0.690000
7.300008,0.019108,0.000948,-0.760000,-0.680000
7.400023,0.006568,0.001613,-0.750000,-0.670000
7.500003,-0.000266,0.006848,-0.750000,-0.670000
7.599999,-0.005870,0.005552,-0.760000,-0.670000
7.699971,-0.001094,0.005314,-0.760000,-0.670000
7.800027,0.003966,0.009679,-0.790000,-0.670000
7.899997,0.014141,0.011882,-0.810000,-0.680000
7.999967,0.027298,0.009359,-0.810000,-0.690000
8.099997,0.038716,0.011225,-0.830000,-0.690000
8.199994,0.047945,0.012505,-0.820000,-0.700000
8.299974,0.053390,0.015186,-0.800000,-0.690000
8.400025,0.049638,0.015345,-0.790000,-0.690000
8.499984,0.039098,0.015779,-0.770000,-0.690000
8.600012,0.031487,0.016384,-0.760000,-0.680000
8.699966,0.018951,0.014663,-0.750000,-0.670000
8.800026,0.006263,0.016789,-0.750000,-0.660000
8.899983,0.001498,0.017672,-0.760000,-0.660000
8.999969,0.002423,0.013302,-0.780000,-0.650000
9.099965,0.007701,0.014463,-0.790000,-0.660000
9.200025,0.018928,0.016610,-0.800000,-0.680000
9.299997,0.033011,0.017135,-0.810000,-0.690000
9.399998,0.045177,0.023087,-0.810000,-0.710000
9.499970,0.050913,0.025333,-0.810000,-0.700000
9.600025,0.059117,0.026632,-0.800000,-0.700000
9.700021,0.052522,0.028702,-0.780000,-0.680000
9.800023,0.044237,0.025269,-0.760000,-0.680000
9.899982,0.034177,0.025350,-0.770000,-0.680000
10.000003,0.020225,0.017048,-0.780000,-0.680000
10.099965,0.010100,0.016597,-0.770000,-0.670000
10.200023,0.003355,0.013674,-0.790000,-0.660000
10.300004,-0.000501,0.010083,-0.800000,-0.660000
10.400004,0.005316,0.009497,-0.800000,-0.660000
10.500007,0.022385,0.016655,-0.770000,-0.660000
10.600036,0.049619,0.026482,-0.770000,-0.670000
10.699978,0.040929,0.024585,-0.750000,-0.690000
10.799983,0.009798,0.026396,-0.730000,-0.660000
10.900041,-0.000792,0.025925,-0.740000,-0.640000
11.000031,0.016650,0.023537,-0.790000,-0.630000
11.100038,0.027201,0.019345,-0.800000,-0.660000
11.200027,0.022888,0.019412,-0.750000,-0.690000
11.300000,0.015319,0.029014,-0.730000,-0.690000
11.400001,0.015568,0.033848,-0.730000,-0.640000
11.500017,0.006634,0.022253,-0.760000,-0.630000
11.600007,0.006880,0.026051,-0.760000,-0.650000
11.699974,-0.005466,0.017444,-0.700000,-0.650000
11.800008,-0.007064,0.002828,-0.690000,-0.640000
11.899981,0.046544,-0.001026,-0.670000,-0.650000
11.999976,-0.002128,0.028975,-0.660000,-0.630000
12.099999,0.015223,0.010049,-0.590000,-0.620000
12.200036,0.003798,0.011785,-0.430000,-0.650000
12.300065,-0.024683,0.000379,-0.250000,-0.470000
12.400032,-0.012773,-0.023757,0.030000,-0.270000
12.500035,-0.030471,-0.036254,0.340000,0.010000
12.600097,-0.052693,-0.062439,0.350000,0.240000
12.700019,-0.085186,-0.084823,-0.270000,0.340000
12.800007,-0.128444,-0.084707,-1.040000,0.360000
12.900007,-0.142045,-0.077770,-1.840000,-0.170000
13.000026,-0.139778,-0.066934,-2.240000,-0.870000
13.100003,-0.152246,-0.065862,-2.400000,-0.990000
13.199976,-0.145966,-0.044227,-2.530000,-1.060000
13.300013,-0.157388,-0.034930,-2.710000,-1.230000
13.400036,-0.146660,-0.010217,-2.720000,-1.430000
13.500040,-0.143763,-0.009001,-2.540000,-1.670000
13.600004,-0.131165,-0.006893,-2.370000,-1.910000
13.699992,-0.124463,0.017073,-2.330000,-2.060000
13.800023,-0.088547,0.015594,-2.480000,-2.210000
13.900007,-0.066823,0.019193,-2.630000,-2.260000
13.999978,-0.028484,0.016352,-2.760000,-2.260000
14.099997,-0.032028,0.018298,-2.810000,-2.100000
14.200009,-0.020026,0.034144,-2.900000,-2.020000
14.300013,-0.000237,0.079140,-2.970000,-2.090000
14.400000,0.039889,0.092979,-2.900000,-2.460000
14.499982,0.055234,0.088995,-2.680000,-2.900000
14.600031,0.090490,0.074819,-2.430000,-3.150000
14.699987,0.119738,0.087874,-2.050000,-3.040000
14.800001,0.139088,0.085485,-1.630000,-2.790000
14.900020,0.168000,0.073517,-1.350000,-2.470000
15.000000,0.157938,0.051267,-1.080000,-2.160000
15.099997,0.178823,0.008713,-1.000000,-1.940000
15.200038,0.152974,-0.007455,-0.980000,-1.910000
15.300074,0.164539,-0.036951,-1.180000,-1.870000
15.400035,0.160993,-0.040742,-1.350000,-1.800000
15.500020,0.163869,-0.045689,-1.540000,-1.510000
15.600007,0.129124,-0.046581,-1.670000,-1.180000
15.700007,0.129743,-0.040206,-1.860000,-0.910000
15.800009,0.128975,-0.038884,-2.090000,-0.650000
15.900024,0.127342,-0.060041,-2.080000,-0.730000
16.000028,0.113204,-0.058023,-1.850000,-0.920000
16.100016,0.096543,-0.064396,-1.670000,-1.120000
16.200030,0.087862,-0.035851,-1.740000,-1.110000
16.300020,0.090615,-0.077135,-1.710000,-0.980000
16.400006,0.079981,-0.082531,-1.750000,-0.530000
16.500008,0.042560,-0.089398,-1.980000,-0.180000
16.600001,0.021830,-0.030581,-2.310000,-0.040000
16.700003,0.022077,-0.029799,-2.500000,-0.230000
16.800015,-0.025896,-0.017046,-2.360000,-0.510000
16.899989,-0.017926,-0.019201,-2.230000,-0.970000
16.999989,-0.020641,-0.015064,-2.010000,-1.290000
17.099983,-0.023291,-0.019416,-1.990000,-1.460000
17.200033,-0.030470,-0.011658,-1.970000,-1.430000
17.299989,-0.027930,-0.010606,-2.000000,-1.420000
17.400005,-0.022520,-0.005774,-1.880000,-1.260000
17.500018,-0.022258,-0.024954,-1.880000,-1.170000
17.599980,-0.028679,-0.009028,-1.910000,-1.170000
17.699998,-0.028648,-0.031598,-2.010000,-1.280000
17.799983,-0.043086,-0.011568,-2.200000,-1.270000
17.900033,-0.035068,-0.015750,-2.500000,-1.250000
18.000017,-0.033256,-0.006192,-2.520000,-1.180000
18.100001,-0.014519,-0.010027,-2.510000,-1.160000
18.200001,-0.031611,0.006280,-2.390000,-1.080000
18.300043,-0.028996,0.008487,-2.310000,-1.190000
18.399977,-0.055705,0.022113,-2.250000,-1.430000
18.500001,-0.038282,0.015384,-2.270000,-1.660000
18.600000,-0.050426,0.012492,-2.200000,-1.810000
18.700017,-0.046945,0.048672,-2.090000,-1.910000
18.800003,-0.052193,0.039257,-1.930000,-1.990000
18.899975,-0.028409,0.040042,-1.890000,-2.000000
19.000009,-0.000665,0.017202,-1.830000,-2.060000
19.100002,-0.002152,0.027106,-1.810000,-2.010000
19.199982,0.008877,0.017140,-1.920000,-1.860000
19.299991,0.014849,0.027019,-1.930000,-1.620000
19.400010,0.027943,0.014089,-1.960000,-1.360000
19.500006,0.002982,0.042698,-1.910000,-0.980000
19.600029,0.003626,0.046022,-1.840000,-0.740000
