time_s,vx_ms,vy_ms,vertical_speed_ms,pitch_deg,roll_deg,power_w,rpm
4.67484,-0.005873,-0.003096,0.001761,-1.64,0.36,87.309,257.619048
5.276119,0.000954,-0.000117,0.003087,-1.66,0.37,28.508,703.333333
6.027719,0.002052,-0.001091,-0.010094,-1.62,0.34,29.493,701.190476
6.779318,0.001411,-0.003005,-0.016665,-1.61,0.28,30.23,701.428571
7.530917,0.002044,-0.014541,-0.021207,-1.64,0.33,28.999,703.571429
8.282516,0.002413,-0.014841,0.00178,-1.59,0.37,228.34,755.714286
9.034115,-0.093548,-0.37614,0.88906,-0.75,0.48,101.498,910
9.785714,-0.122404,-0.246639,1.246073,-4.05,0.09,119.234,925.238095
10.537313,-0.083785,-0.130656,1.344596,-3.02,0.04,1127.069,2430.714286
11.288913,-0.048908,-0.043177,1.360765,-3.54,-0.9,978.226,2223.809524
12.040512,0.014783,0.188019,1.399542,-4.66,0.79,950.037,2241.666667
12.792111,-0.169379,-0.007622,1.424612,-1.41,-1.11,949.661,2197.619048
13.54371,-0.323536,0.757793,1.494337,-9.52,2.42,858.949,2218.571429
14.295309,-0.638682,1.673555,1.508551,-6.96,1.77,907.062,2175.952381
15.046908,-1.018312,1.438496,0.513644,1.77,-3.99,895.419,2258.809524
15.798507,-0.48537,0.326713,0.356394,4.88,-8.29,952.557,2292.142857
16.5,-0.104653,-0.45924,0.379904,-0.93,-2.28,679.75,2042.619048
17.251599,0.146498,0.009304,0.337839,-10.5,-1.02,906.966,2145.714286
18.003198,0.297914,0.971232,0.310334,-10.8,-1.59,790.456,2185.47619
18.754797,0.528743,1.85407,0.295177,-10.48,-1.28,928.758,2227.142857
19.506397,0.421377,2.389529,0.355357,-3.97,0.15,879.213,2168.333333
20.257996,0.230976,1.590758,0.199092,3.39,-4.78,803.808,2175.714286
21.009595,-0.000568,0.24146,0.317522,6.57,-2.02,660.152,2120.952381
21.761194,-0.270156,-0.622231,0.245943,-0.98,-0.68,673.545,2077.380952
22.512793,-0.166201,-0.170514,0.247982,-9.57,-2.47,698.469,2143.571429
23.264392,0.175703,0.291369,0.224907,-4.8,-3.17,866.982,2215.952381
24.015991,0.229837,0.125052,0.196633,-1.75,-0.95,892.117,2240.952381
24.767591,0.035915,0.058864,0.226865,-2.45,-0.72,870.779,2194.285714
25.51919,0.032224,-0.005381,0.22675,-2.71,-1.51,826.764,2200.952381
26.270789,-0.067075,-0.02956,0.221285,-2.99,-1.48,883.198,2274.047619
27.022388,-0.00109,-0.031697,0.253846,-3.28,-2.16,806.678,2218.571429
27.773987,0.009892,-0.012925,0.21956,-2.88,-1.42,841.813,2247.619048
28.525586,-0.067647,0.051099,0.221703,-2.63,-1.27,873.864,2220.47619
29.277186,-0.000272,-0.003403,0.244057,-3.15,-2.29,786.07,2213.333333
30.028785,-0.034755,0.032146,0.217879,-2.8,-2.11,803.373,2250.952381
30.780384,0.040357,0.02861,0.185894,-3.23,-1.63,815.502,2230.952381
31.531983,0.054197,0.031102,0.230235,-2.6,-1.45,787.322,2230
32.283582,-0.014022,0.003298,0.259136,-2.96,-1.47,931.968,2232.619048
33.035181,0.005268,0.021605,0.372828,-3.18,-1.52,843.764,2224.047619
33.78678,-0.063404,0.051467,1.00412,-2.99,-1.71,778.57,2232.142857
34.53838,-0.071884,0.022613,1.132007,-2.05,-1.82,1013.257,2269.047619
35.289979,0.040621,-0.005055,1.210929,-2.66,-1.38,910.832,2291.190476
36.041578,0.011202,0.040118,1.240451,-2.92,-1.12,828.484,2217.142857
36.793177,-0.012783,0.006838,1.094824,-2.31,-1.42,894.957,2241.428571
37.544776,0.042205,-0.0297,0.664775,-3.16,-0.39,852.1,2218.333333
38.296375,-0.057468,0.004914,0.602636,-3.1,-0.86,753.524,2193.571429
39.047974,-0.023506,0.047367,0.581389,-3.11,-1.02,839.168,2201.904762
39.799574,-0.035049,0.038692,0.584232,-2.56,-1.09,836.546,2191.190476
40.501066,-0.003746,0.011434,0.57087,-2.54,-1.1,811.232,2192.142857
41.252665,-0.053216,0.000935,0.407619,-2.49,-1.89,903.183,2220.47619
42.004264,0.023682,-0.004788,0.232972,-3.16,-1.54,1004.248,2224.047619
42.755864,0.094326,0.010287,0.267054,-2.7,-1.49,747.485,2167.142857
43.507463,-0.002714,0.023685,0.245534,-2.68,-0.56,916.124,2225.714286
44.259062,0.003781,0.02849,0.242192,-1.81,-1.05,987.072,2245.714286
45.010661,0.051089,-0.026266,0.255576,-1.68,-1.08,825.735,2241.666667
45.76226,-0.01191,-0.04351,0.245592,-2.22,-0.85,1019.542,2268.333333
46.513859,-0.038215,-0.03383,0.227935,-2.61,-0.75,961.843,2238.333333
47.265458,0.024572,-0.015347,0.2473,-2.8,-0.57,850.003,2229.761905
48.017058,0.046227,-0.00017,0.183792,-2.58,0.12,928.644,2206.904762
48.768657,-0.019066,0.021417,0.192766,-2.1,0.42,844.914,2196.904762
49.520256,-0.042892,0.019285,0.183103,-3.38,-0.78,928.45,2181.190476
50.271855,0.004402,0.048752,0.154055,-2.61,0.36,890.35,2194.52381
51.023454,-0.035522,0.054979,0.166,-2.5,0.8,930.896,2119.047619
51.775053,-0.085543,0.03098,0.142377,-2.47,0,855.421,2184.047619
52.526652,-0.00985,0.035245,0.22929,-2.53,-0.81,826.453,2169.047619
53.278252,0.052931,0.009553,0.237424,-2.66,1.48,931.362,2199.761905
54.029851,-0.727312,0.245162,0.270624,-2.55,7.28,872.933,2204.761905
54.78145,-1.592664,0.470871,0.211561,-2.8,6.76,926.781,2151.428571
55.533049,-2.319035,0.644191,0.164634,-2.9,7.14,922.221,2173.095238
56.284648,-3.086543,0.805536,0.197206,-2.74,6.76,860.772,2143.571429
57.036247,-3.675103,0.95787,0.231613,-2.6,5.9,855.944,2115.238095
57.787846,-4.144941,1.040612,0.181477,-2.53,6.34,849.732,2139.761905
58.539446,-4.533572,1.182608,0.182284,-2.87,5.59,883.406,2151.666667
59.291045,-4.860365,1.215666,0.026384,-2.55,6.65,851.666,2129.52381
60.042644,-5.465201,1.34914,-0.137301,-2.46,7.9,641.513,2063.095238
60.794243,-6.005374,1.320906,-0.06319,-1.96,8.53,694.385,1994.047619
61.545842,-6.701117,1.347507,0.142001,-2.58,7.68,845.395,2083.333333
62.297441,-7.052935,1.3413,0.202457,-2.55,7.44,807.832,2071.428571
63.049041,-7.45532,1.391273,0.147244,-2.72,7.31,796.925,2119.047619
63.750533,-7.859519,1.363641,0.266868,-2.27,6.99,784.501,2076.428571
64.502132,-7.939857,1.322737,0.336014,-2.33,4.39,879.247,2097.857143
65.253731,-7.457713,1.141878,0.32372,-2.97,-0.79,849.687,2120
66.00533,-6.440183,1.255007,0.270073,-5.7,-6.48,741.8,2064.047619
66.75693,-4.684501,0.935436,0.208705,-2.35,-12.27,736.922,2074.52381
67.508529,-2.628571,0.486038,0.104905,-3.26,-15.64,761.97,2099.761905
68.260128,-0.795128,0.083477,0.174674,-3.26,-8.55,801.59,2060.952381
69.011727,-0.073219,-0.053841,0.175641,-3,-2,878.076,2136.904762
69.763326,0.074095,-0.110558,0.257882,-2.05,-5.55,945.19,2158.333333
70.514925,1.402025,-0.619341,0.32654,-1.13,-12.35,786.305,2158.095238
71.266525,2.834544,-1.127461,0.303391,-1.04,-15.63,836.354,2193.809524
72.018124,4.8245,-1.769403,0.338943,-0.92,-16.38,895.78,2216.904762
72.769723,6.301612,-2.163059,0.359989,-1.89,-15.81,1028.153,2259.52381
73.521322,7.74122,-2.616596,0.289511,-1.62,-14.77,1034.075,2310.952381
74.272921,8.697076,-3.081925,0.184887,-1.97,-15.53,1046.173,2267.380952
75.02452,9.77253,-3.528447,0.151739,-1.55,-15.09,989.166,2262.142857
75.776119,10.45204,-3.701869,0.069388,-1.71,-14.56,854.836,2129.047619
76.527719,10.820339,-3.92153,0.153265,-2.32,-11.21,809.008,2230.47619
77.279318,10.06839,-3.614041,0.150981,-4.49,1.64,1021.987,2069.761905
78.030917,8.309016,-2.588365,0.160855,-8.88,7.89,788.812,2216.904762
78.832623,6.281446,-1.655197,0.257887,-4.31,12.38,526.509,2063.095238
79.534115,4.020164,-1.04562,0.264625,-4.79,17.31,733.81,1994.047619
80.285714,2.982939,-0.625138,0.367883,-5.67,-2.25,586.402,2080.238095
81.037313,3.204412,-0.494238,0.33863,-4.88,-2.29,953.128,2261.190476
81.788913,3.311118,0.060743,0.293757,-9.22,-1.07,797.374,2300.952381
82.540512,3.31508,0.856485,0.231396,-9.86,-0.89,974.142,2235.238095
83.292111,3.38777,1.546281,0.333148,-10.21,-1.6,915.507,2314.52381
84.04371,2.850885,1.531842,0.254543,-0.03,3.41,872.96,2282.380952
84.795309,1.754912,0.77415,0.225005,7.13,8.53,826.159,2166.666667
85.546908,0.153685,-0.109702,0.255545,0.59,5.84,669.946,2113.809524
86.298507,-0.231313,-0.0937,0.236998,-4.73,-0.31,800.149,2122.857143
87,-0.007368,0.093007,0.156426,-3.33,-3.23,915.127,2277.857143
87.751599,0.494771,0.903424,0.286467,-10.97,-1.81,836.621,2206.666667
88.503198,0.715608,1.765674,0.225716,-10.57,-1.08,846.772,2171.428571
89.254797,0.982736,2.64615,0.229187,-10.79,-1.5,722.628,2092.619048
90.006397,0.959792,3.40656,0.256913,-10.23,0.3,781.592,2133.571429
90.757996,1.080978,4.141285,0.179966,-10.09,-0.03,813.279,2117.857143
91.509595,1.055013,4.717681,0.15942,-9.67,-0.52,709.516,2143.809524
92.261194,0.940929,4.727789,0.228346,-1.9,-0.28,706.855,2137.857143
93.012793,0.65058,3.644944,0.130098,5.3,-2.09,747.432,2173.095238
93.764392,0.397191,2.104378,0.09518,10.73,-1.88,584.256,2039.047619
94.515991,0.120036,0.37771,0.169794,3.59,-0.67,775.551,2105.952381
95.267591,-0.065177,-0.044015,0.194963,-1.63,2.29,768.939,2164.047619
96.01919,-1.306003,0.341876,0.190982,-3.7,9.83,868.32,2169.761905
96.770789,-2.357751,0.667208,0.142693,-3.39,8.78,880.478,2176.428571
97.522388,-3.456135,0.991502,0.189364,-3.67,9.2,871.219,2175.714286
98.273987,-4.591226,1.329392,0.227265,-4.14,13.16,910.476,2168.809524
99.025586,-6.127176,1.793391,0.231437,-4.08,12.95,873.588,2131.428571
99.777186,-7.323107,2.12185,0.129826,-3.32,12.84,839.002,2175.47619
100.528785,-8.289808,2.438371,-0.017195,-3.2,12.66,797.795,2122.619048
101.280384,-9.218105,2.668499,-0.004104,-3.34,11.87,732.723,2106.190476
102.031983,-8.849779,2.530333,0.014777,1.37,-2.86,704.195,2112.142857
102.783582,-7.893888,1.614007,-0.057698,1.25,-6.92,760.579,2091.904762
103.535181,-6.052778,1.027907,-0.002993,-4.85,-14.06,638.101,1981.428571
104.28678,-3.882517,0.73839,0.084417,-2.52,-16.13,704.043,2056.190476
105.138593,-1.612097,0.290969,0.280734,-2.62,-10.74,671.855,2217.380952
105.789979,-0.743742,0.137495,0.340775,-2.82,-7.67,834.211,2114.52381
106.541578,-0.214965,0.061006,0.462449,-2.17,-2.9,843.842,2138.095238
107.293177,-0.121829,-0.039342,0.426233,-3.38,0.41,937.527,2201.666667
108.044776,-0.190918,-0.048091,0.365147,-3.07,-4.03,816.151,2166.190476
108.796375,-0.060539,-0.020817,0.379005,-2.93,-1.43,888.894,2142.619048
109.547974,0.012773,-0.016067,0.305451,-3.14,-1.95,775.625,2107.857143
110.299574,0.094041,0.093853,0.300076,-2.79,-1.83,813.446,2141.666667
111.001066,-0.132216,0.535367,0.232224,-9.29,3.93,906.544,2184.285714
111.752665,-1.102377,1.518446,0.24825,-5.78,11.05,804.118,2158.095238
112.504264,-1.877225,1.594566,0.157817,0.21,-0.6,905.987,2216.666667
113.255864,-1.95716,1.150736,0.192254,-3.13,10.89,622.248,2190.238095
114.007463,-3.406238,1.483623,0.21771,-3.93,12.74,767.597,2068.571429
114.759062,-4.685528,1.841125,0.180122,-3.65,11.85,926.97,2220.47619
115.510661,-5.876168,2.16473,0.10283,-3.42,12.12,806.978,2091.190476
116.26226,-6.756471,2.356881,0.042723,-3.17,9.75,730.388,2127.380952
117.013859,-7.09283,2.468325,-0.029016,-3.02,5.84,753.226,2076.190476
117.765458,-7.288997,2.430001,-0.037826,-2.4,6.88,785.16,2076.904762
118.517058,-7.390953,2.510819,0.067938,-3.3,3.71,815.234,2088.571429
119.268657,-7.17438,2.352857,0.10673,-1.63,-0.49,825.43,2119.047619
120.020256,-6.161017,1.645245,0.113672,4.12,-6.98,725.024,2135.47619
120.771855,-4.68778,0.876726,0.154373,-0.01,-12.04,800.906,2066.904762
121.523454,-2.879879,0.526188,0.119774,-2.76,1.64,766.399,2135
122.275053,-3.710562,0.853278,0.335152,-3.2,9.61,872.55,2117.380952
123.026652,-4.642288,1.158627,0.442412,-2.46,6.79,911.38,2260
123.778252,-5.134327,1.277486,0.347583,-2.58,4.83,940.678,2236.904762
124.529851,-5.303149,1.222353,0.250655,-1.13,4.6,764.616,2115.952381
125.28145,-5.527997,1.130584,0.209353,-2.56,3.62,752.468,2043.095238
126.033049,-5.696633,1.165696,0.182391,-2.02,4.32,731.254,2040.952381
126.784648,-6.07661,1.018579,0.170721,-1.72,3.99,839.044,2107.380952
127.536247,-6.19538,0.854748,0.181065,-2.66,2.82,663.334,2050.238095
128.287846,-6.248447,0.789,0.200805,-2.51,2.89,791.37,2051.190476
129.039446,-6.266535,0.670675,0.283353,-2.6,2.68,789.985,2061.666667
129.791045,-6.31551,0.629204,0.227977,-2.5,1.59,821.977,2107.857143
